PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 1,3,Off the Dribble,Left,4,BallVeloRelease__zwithin,-0.055,0.073,0.128,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353,maxElbowExtensionNonDominantPostHitch,24.049,23.803,-0.246,maxHipExtensionAvgHitch__zwithin,0.024,0.001,-0.023,maxTorsoFlexionHitch__zwithin,-0.875,0.073,0.947
Player 1,4,Off the Dribble,Left,4,timeToMaxHipExtensionDominantPostHitch,0.333,0.459,0.126,BallVeloRelease__zwithin,-0.278,0.073,0.352,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.452,-0.452,0.0,timeToMaxShoulderFlexionNonDominantPostHitch,0.425,0.508,0.083,timeToMaxKneeExtensionNonDominantPostHitch,0.391,0.484,0.093
Player 1,5,Off the Dribble,Left,4,BallVeloRelease__zwithin,0.166,0.073,-0.093,timeToMaxShoulderExtensionDomDiffHitch__zwithin,0.008,0.002,-0.006,timeToMaxShoulderFlexionNonDominantPostHitch,0.433,0.508,0.075,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.452,-0.452,0.0,maxShoulderFlexionDomDiffPostHitch__zwithin,0.654,0.252,-0.403
Player 1,8,Off the Dribble,Left,4,BallVeloRelease__zwithin,-1.239,-0.739,0.5,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.508,0.108,hipTotalROMDominant,-36.913,-41.731,-4.818,timeToMaxElbowExtensionDominantPostHitch,0.441,0.517,0.076,maxElbowExtensionNonDominantPostHitch,23.227,23.803,0.576
Player 1,10,Off the Dribble,Left,4,timeToMaxShoulderExtensionDomDiffHitch__zwithin,0.008,0.002,-0.006,BallVeloRelease__zwithin,-0.263,0.073,0.336,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353,timeToMaxShoulderFlexionNonDominantPostHitch,0.441,0.508,0.067,timeToMaxElbowExtensionDominantPostHitch,0.441,0.517,0.076
Player 1,13,Off the Dribble,Left,4,timeToMaxShoulderExtensionDomDiffHitch__zwithin,0.008,0.002,-0.006,timeToMaxKneeExtensionNonDominantPostHitch,0.384,0.484,0.1,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353,maxElbowExtensionDominantPostHitch,6.42,13.413,6.993,maxTorsoFlexionHitch__zwithin,-2.52,0.073,2.593
Player 1,14,Off the Dribble,Left,4,timeToMaxShoulderExtensionDomDiffHitch__zwithin,0.008,0.002,-0.006,timeToMaxShoulderFlexionNonDominantPostHitch,0.433,0.508,0.075,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353,timeToMaxShoulderExtensionDominantPreHitch__zwithin,-0.615,-0.225,0.39,Max.Ball.Released..Away.from.body.__zwithin,-1.555,-1.244,0.311
Player 1,16,Off the Dribble,Left,4,BallVeloRelease__zwithin,-0.653,-0.153,0.5,timeToMaxAnkleDorsiflexionDomDiffPreHitch__zwithin,-3.512,-2.81,0.702,Max.Ball.Released..Away.from.body.__zwithin,2.29,1.832,-0.458,maxElbowExtensionNonDominantPostHitch,22.951,23.803,0.852,timeToMaxElbowFlexionDominantHitch__zwithin,3.54,-0.027,-3.567
Player 1,23,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.14,0.912,-0.228,HipAlignmentRelease__zwithin,1.242,0.994,-0.248,HipAlignmentPostHitch__zwithin,1.297,1.038,-0.259,BallVeloStart__zwithin,-1.151,-0.651,0.5,maxElbowFlexionDominantPostHitch,132.629,121.399,-11.23
Player 1,24,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.129,0.903,-0.226,HipAlignmentRelease__zwithin,1.252,1.002,-0.25,HipAlignmentPostHitch__zwithin,1.232,0.985,-0.246,ShoulderAlignmentPostHitch__zwithin,1.205,0.964,-0.241,BallVeloStart__zwithin,-1.383,-0.883,0.5
Player 1,25,Off the Dribble,Left,4,HipAlignmentPreHitch__zwithin,1.15,0.92,-0.23,HipAlignmentPostHitch__zwithin,1.277,1.021,-0.255,HipAlignmentRelease__zwithin,1.232,0.986,-0.246,ShoulderAlignmentPostHitch__zwithin,1.198,0.959,-0.24,BallVeloStart__zwithin,-0.947,-0.447,0.5
Player 1,26,Off the Dribble,Left,4,HipAlignmentPreHitch__zwithin,1.14,0.912,-0.228,HipAlignmentRelease__zwithin,1.252,1.001,-0.25,HipAlignmentPostHitch__zwithin,1.28,1.024,-0.256,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353,ShoulderAlignmentPostHitch__zwithin,1.281,1.025,-0.256
Player 1,27,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.065,0.852,-0.213,HipAlignmentRelease__zwithin,1.279,1.023,-0.256,HipAlignmentPostHitch__zwithin,1.201,0.961,-0.24,ShoulderAlignmentPostHitch__zwithin,1.199,0.96,-0.24,BallVeloStart__zwithin,-0.94,-0.582,0.359
Player 1,28,Off the Dribble,Left,4,HipAlignmentPreHitch__zwithin,1.087,0.87,-0.217,HipAlignmentRelease__zwithin,1.192,0.954,-0.238,HipAlignmentPostHitch__zwithin,1.249,0.999,-0.25,ShoulderAlignmentPostHitch__zwithin,1.218,0.975,-0.244,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,-0.452,0.353
Player 1,29,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,1.185,0.948,-0.237,HipAlignmentPreHitch__zwithin,1.115,0.892,-0.223,HipAlignmentPostHitch__zwithin,1.219,0.976,-0.244,maxElbowFlexionDominantPostHitch,129.574,121.399,-8.174,BallVeloRelease__zwithin,-0.748,-0.248,0.5
Player 1,30,Off the Dribble,Left,4,HipAlignmentPreHitch__zwithin,1.118,0.894,-0.224,HipAlignmentRelease__zwithin,1.222,0.977,-0.244,HipAlignmentPostHitch__zwithin,1.276,1.021,-0.255,maxKneeExtensionDomDiffHitch,-8.597,-0.771,7.826,ShoulderAlignmentPostHitch__zwithin,1.253,1.003,-0.251
Player 1,31,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.142,0.913,-0.228,HipAlignmentRelease__zwithin,1.203,0.963,-0.241,HipAlignmentPostHitch__zwithin,1.241,0.992,-0.248,maxKneeExtensionDomDiffHitch,-7.855,-2.141,5.715,ShoulderAlignmentPostHitch__zwithin,1.263,1.01,-0.253
Player 1,32,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.095,0.876,-0.219,HipAlignmentRelease__zwithin,1.242,0.993,-0.248,HipAlignmentPostHitch__zwithin,1.208,0.966,-0.242,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.805,0.299,1.105,maxElbowExtensionDominantPreHitch,115.371,110.617,-4.754
Player 1,33,Catch and Shoot,Left,4,HipAlignmentPreHitch__zwithin,1.128,0.902,-0.226,HipAlignmentRelease__zwithin,1.214,0.971,-0.243,HipAlignmentPostHitch__zwithin,1.266,1.013,-0.253,BallVeloStart__zwithin,-0.957,-0.582,0.375,ShoulderAlignmentPostHitch__zwithin,1.307,1.046,-0.261
