PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 120,16756,Catch and Shoot,Right,0,maxAnklePlantarflexionAvgHitch,-29.816,-24.307,5.509,maxKneeExtensionDominantHitch,-1.178,-12.289,-11.11,MaxStanceGapHitch,0.587,0.582,-0.005,,,,,,,,
Player 120,16766,Off the Dribble,Right,0,maxKneeExtensionNonDominantHitch,-51.556,-57.495,-5.939,maxShoulderFlexionNonDominantPreHitch,89.615,77.143,-12.473,MaxStanceGapPostHitch,0.603,0.512,-0.091,,,,,,,,
Player 120,16786,Off the Dribble,Right,0,maxShoulderFlexionNonDominantPreHitch,92.843,85.296,-7.546,,,,,,,,,,,,,,,,
Player 120,16787,Off the Dribble,Right,0,BallVeloStart,-0.072,-0.3,-0.228,maxShoulderExtensionDominantPreHitch,-11.23,0.759,11.989,,,,,,,,,,,,
Player 120,16790,Off the Dribble,Right,0,maxKneeExtensionNonDominantHitch,-51.391,-40.452,10.939,maxAnkleDorsiflexionDominantPostHitch,16.184,22.265,6.081,,,,,,,,,,,,
Player 120,16792,Off the Dribble,Right,0,timeToMaxTorsoFlexionPreHitch,0.008,0.3,0.292,BallVeloPostHitch,1.725,2.031,0.306,,,,,,,,,,,,
Player 120,16796,Off the Dribble,Right,0,timeToMaxAnkleDorsiflexionDominantHitch,0.142,0.5,0.358,maxShoulderFlexionNonDominantHitch,138.736,138.287,-0.449,,,,,,,,,,,,
Player 120,16812,Off the Dribble,Right,0,maxShoulderExtensionDominantPreHitch,-23.067,-12.623,10.443,HipFlexionAtT0Avg,28.22,40.087,11.867,maxHipExtensionNonDominantPostHitch,-4.622,8.802,13.424,,,,,,,,
Player 120,16816,Off the Dribble,Right,0,TorsoVeloRelease,1.917,1.418,-0.498,maxShoulderExtensionNonDominantPreHitch,-0.924,5.067,5.991,maxTorsoFlexionHitch,-3.109,-5.468,-2.359,,,,,,,,
Player 120,16817,Off the Dribble,Right,0,maxHipExtensionNonDominantPostHitch,-1.362,2.777,4.139,maxTorsoFlexionPreHitch,-4.656,-9.769,-5.113,,,,,,,,,,,,
Player 120,16823,Off the Dribble,Right,0,FeetAlignmentRelease,68.101,77.294,9.192,maxElbowExtensionAvgHitch,99.476,106.716,7.24,maxShoulderExtensionDominantPreHitch,-9.662,4.305,13.967,maxShoulderExtensionAvgHitch,71.109,59.247,-11.862,,,,
Player 120,16886,Catch and Shoot,Right,0,timeToMaxShoulderExtensionDominantPostHitch,0.308,0.485,0.177,ankleFlexionAtT0Avg,21.235,13.338,-7.897,,,,,,,,,,,,
Player 120,16893,Catch and Shoot,Right,0,BallVeloRelease,7.193,6.389,-0.804,timeToMaxElbowFlexionDominantPreHitch,0.0,0.5,0.5,,,,,,,,,,,,
Player 120,16894,Catch and Shoot,Right,0,BallVeloRelease,7.079,6.094,-0.985,ElbowFlexionAtT0Dominant,106.407,103.835,-2.572,maxTorsoExtensionHitch,0.516,5.362,4.846,maxElbowFlexionNonDominantPreHitch,92.671,89.894,-2.777,,,,
Player 120,16899,Catch and Shoot,Right,0,MaxStanceGapHitch,0.61,0.647,0.036,MaxStanceGapPostHitch,0.594,0.63,0.036,,,,,,,,,,,,
Player 120,16900,Catch and Shoot,Right,0,BallVeloRelease,6.547,5.663,-0.884,maxAnklePlantarflexionDominantHitch,22.953,18.843,-4.11,,,,,,,,,,,,
Player 120,16901,Catch and Shoot,Right,0,BallVeloRelease,6.926,6.045,-0.881,MaxStanceGapPostHitch,0.609,0.592,-0.017,,,,,,,,,,,,
Player 120,16912,Off the Dribble,Right,0,maxAnklePlantarflexionAvgHitch,-26.686,-23.453,3.233,maxKneeFlexionDominantPostHitch,-7.082,-17.357,-10.275,maxHipFlexionAvgPostHitch,3.031,9.767,6.736,MaxStanceGapHitch,0.648,0.579,-0.069,maxKneeFlexionAvgPreHitch,-76.664,-69.39,7.274
Player 120,16968,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.617,0.517,-0.1,MaxStanceGapHitch,0.62,0.544,-0.076,,,,,,,,,,,,
Player 120,16971,Off the Dribble,Right,0,MaxStanceGapRelease,0.516,0.44,-0.076,maxHipExtensionAvgPostHitch,-2.632,1.593,4.225,,,,,,,,,,,,
Player 120,16980,Off the Dribble,Right,0,MaxStanceGapHitch,0.627,0.558,-0.069,maxHipFlexionDominantHitch,25.044,27.796,2.751,,,,,,,,,,,,
Player 120,16984,Off the Dribble,Right,0,MaxStanceGapHitch,0.589,0.588,-0.0,ElbowFlexionAtT0Dominant,112.066,103.648,-8.418,,,,,,,,,,,,
Player 120,16987,Off the Dribble,Right,0,TorsoVeloPostHitch,0.775,0.57,-0.206,MaxStanceGapPostHitch,0.602,0.528,-0.074,,,,,,,,,,,,
Player 120,16990,Off the Dribble,Right,0,maxElbowExtensionDominantPostHitch,6.348,8.793,2.445,ShoulderFlexionAtT0Dominant,-17.34,-6.588,10.752,,,,,,,,,,,,
Player 120,16997,Off the Dribble,Right,0,maxShoulderExtensionDominantPreHitch,-5.296,3.181,8.478,maxHipExtensionAvgPostHitch,-0.795,3.966,4.762,timeToMaxAnkleDorsiflexionNonDominantHitch,0.575,0.285,-0.29,,,,,,,,
Player 120,17002,Catch and Shoot,Right,0,MaxStanceGapHitch,0.632,0.564,-0.069,MaxStanceGapRelease,0.566,0.505,-0.061,MaxStanceGapPostHitch,0.631,0.547,-0.085,TorsoVeloPreHitch,0.331,-0.088,-0.419,,,,
Player 120,17006,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.616,0.56,-0.056,MaxStanceGapRelease,0.534,0.51,-0.024,MaxStanceGapHitch,0.633,0.584,-0.049,TorsoVeloPreHitch,0.215,-0.118,-0.333,,,,
Player 120,17014,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.615,0.536,-0.078,MaxStanceGapHitch,0.619,0.563,-0.056,ShoulderAlignmentPostHitch,122.699,115.297,-7.402,,,,,,,,
Player 120,17016,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.616,0.544,-0.072,,,,,,,,,,,,,,,,
Player 120,17020,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.624,0.511,-0.114,,,,,,,,,,,,,,,,
Player 120,17021,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.607,0.543,-0.064,maxHipExtensionAvgPostHitch,-3.64,3.497,7.137,,,,,,,,,,,,
Player 120,17022,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.628,0.507,-0.121,ShoulderTotalROMDominant,144.259,125.342,-18.917,,,,,,,,,,,,
Player 120,17027,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.602,0.506,-0.095,MaxStanceGapRelease,0.534,0.449,-0.085,,,,,,,,,,,,
Player 120,17030,Off the Dribble,Right,0,MaxStanceGapHitch,0.605,0.576,-0.029,maxShoulderExtensionDominantPreHitch,0.888,5.386,4.499,ElbowFlexionAtT0Dominant,104.126,97.2,-6.926,,,,,,,,
Player 120,17053,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.602,0.597,-0.006,,,,,,,,,,,,,,,,
Player 120,17059,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.601,0.559,-0.042,,,,,,,,,,,,,,,,
Player 120,17060,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.606,0.554,-0.052,MaxStanceGapHitch,0.615,0.581,-0.034,,,,,,,,,,,,
Player 120,17073,Off the Dribble,Right,0,maxHipExtensionAvgPostHitch,-5.312,9.237,14.549,ElbowTotalROMNonDominant,-102.365,-83.298,19.067,,,,,,,,,,,,
Player 120,17089,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.63,0.535,-0.095,timeToMaxAnklePlantarflexionNonDominantPreHitch,0.1,0.164,0.064,,,,,,,,,,,,
Player 120,17091,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.624,0.596,-0.028,maxElbowFlexionDominantPreHitch,117.932,111.573,-6.359,,,,,,,,,,,,
Player 120,17093,Off the Dribble,Right,0,maxElbowFlexionDominantPreHitch,122.575,112.279,-10.295,MaxStanceGapPostHitch,0.629,0.577,-0.051,maxElbowFlexionAvgPreHitch,110.279,100.565,-9.714,,,,,,,,
Player 120,17105,Off the Dribble,Right,0,maxElbowFlexionDominantPreHitch,121.608,116.142,-5.466,ElbowFlexionAtT0Dominant,120.63,111.76,-8.87,,,,,,,,,,,,
Player 120,17108,Catch and Shoot,Right,0,maxElbowFlexionDominantPreHitch,118.884,107.552,-11.332,BallVeloPreHitch,2.204,2.651,0.447,,,,,,,,,,,,
Player 120,17111,Catch and Shoot,Right,0,maxElbowFlexionDominantPreHitch,122.554,110.044,-12.511,ElbowFlexionAtT0Dominant,115.787,103.689,-12.098,,,,,,,,,,,,
Player 120,17119,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.676,0.543,-0.133,maxHipExtensionAvgPostHitch,-2.321,0.201,2.522,,,,,,,,,,,,
Player 120,17135,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.635,0.599,-0.035,maxAnklePlantarflexionAvgPreHitch,22.776,20.589,-2.188,,,,,,,,,,,,
Player 120,17179,Off the Dribble,Right,0,maxElbowFlexionDominantPreHitch,121.283,107.133,-14.149,MaxStanceGapPostHitch,0.633,0.518,-0.115,,,,,,,,,,,,
Player 120,17182,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.632,0.589,-0.042,maxElbowFlexionDominantPreHitch,117.809,110.672,-7.137,ElbowFlexionAtT0Dominant,117.219,107.776,-9.442,,,,,,,,
Player 120,17185,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.65,0.562,-0.088,MaxStanceGapHitch,0.645,0.568,-0.077,,,,,,,,,,,,
Player 120,17186,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.677,0.597,-0.08,ElbowFlexionAtT0Dominant,106.288,100.855,-5.433,,,,,,,,,,,,
Player 120,17187,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.624,0.535,-0.089,MaxStanceGapRelease,0.54,0.479,-0.062,,,,,,,,,,,,
Player 120,17191,Catch and Shoot,Right,0,ElbowFlexionAtT0Dominant,106.084,102.025,-4.059,maxAnkleDorsiflexionDominantPostHitch,-19.74,-12.361,7.379,,,,,,,,,,,,
Player 120,17198,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.66,0.583,-0.077,,,,,,,,,,,,,,,,
Player 120,17199,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.655,0.594,-0.061,MaxStanceGapHitch,0.649,0.599,-0.05,,,,,,,,,,,,
Player 120,17206,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.605,0.489,-0.117,,,,,,,,,,,,,,,,
