PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 156,20686,Off the Dribble,Right,0,TorsoVeloHitch,0.465,0.352,-0.113,BallVeloRelease,6.566,6.077,-0.49,,,,
Player 156,20689,Off the Dribble,Right,0,BallVeloRelease,6.574,5.856,-0.719,maxShoulderExtensionDominantPreHitch,-3.98,1.08,5.06,,,,
Player 156,20701,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.391,-0.009,timeToMaxAnklePlantarflexionDominantHitch,0.25,0.261,0.011,,,,
Player 156,20709,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.625,0.601,-0.025,BallVeloRelease,6.719,5.877,-0.842,timeToMaxElbowExtensionDominantPreHitch,0.1,0.105,0.005
Player 156,20716,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.622,0.595,-0.027,BallVeloStart,-0.024,-0.4,-0.376,maxShoulderExtensionDominantPreHitch,0.835,1.222,0.387
Player 156,20730,Off the Dribble,Right,0,FeetAlignmentPostHitch,-24.201,-13.428,10.773,timeToMaxTorsoExtensionHitch,0.175,0.27,0.095,,,,
Player 156,20758,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.408,0.371,-0.037,maxTorsoFlexionPreHitch,-4.223,-4.571,-0.347,,,,
Player 156,20761,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.413,0.013,MaxStanceGapPostHitch,0.663,0.706,0.043,,,,
Player 156,20765,Off the Dribble,Right,0,FeetAlignmentPostHitch,-35.777,-50.051,-14.274,MaxStanceGapPostHitch,0.67,0.588,-0.081,BallVeloStart,0.428,-0.1,-0.528
Player 156,20775,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.408,0.368,-0.04,,,,,,,,
Player 156,20778,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.373,-0.027,maxTorsoFlexionPostHitch,3.291,3.017,-0.274,,,,
Player 156,20779,Off the Dribble,Right,0,BallVeloRelease,6.721,6.019,-0.702,timeToMaxAnklePlantarflexionDominantHitch,0.25,0.246,-0.004,,,,
Player 156,20795,Off the Dribble,Right,0,maxTorsoFlexionPreHitch,-1.621,-6.442,-4.821,MaxStanceGapPostHitch,0.68,0.585,-0.095,maxElbowExtensionNonDominantPreHitch,93.056,79.154,-13.902
