PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4
Player 65,8534,Off the Dribble,Right,0,HipAlignmentRelease,-167.982,-158.314,9.668,maxHipExtensionNonDominantPostHitch,8.846,10.928,2.082,maxElbowFlexionDominantPreHitch,123.08,117.64,-5.441,,,,
Player 65,8555,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.53,0.48,-0.05,ElbowFlexionAtT0Dominant,109.411,103.126,-6.285,,,,,,,,
Player 65,8557,Off the Dribble,Right,0,maxHipExtensionNonDominantPostHitch,9.441,7.988,-1.453,FeetAlignmentRelease,63.159,63.197,0.038,,,,,,,,
Player 65,8559,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.518,0.483,-0.036,,,,,,,,,,,,
Player 65,8561,Off the Dribble,Right,0,maxElbowExtensionAvgPreHitch,104.203,102.75,-1.452,,,,,,,,,,,,
Player 65,8573,Catch and Shoot,Right,0,maxTorsoFlexionPostHitch,1.681,0.77,-0.911,,,,,,,,,,,,
Player 65,8584,Catch and Shoot,Right,0,maxTorsoFlexionHitch,-1.582,-3.875,-2.293,maxKneeFlexionAvgPostHitch,-57.599,-47.891,9.708,maxTorsoFlexionPostHitch,2.243,1.103,-1.139,,,,
Player 65,8607,Off the Dribble,Right,0,BallVeloRelease,6.623,6.109,-0.515,maxShoulderFlexionDominantHitch,88.004,98.403,10.399,,,,,,,,
Player 65,8619,Catch and Shoot,Right,0,maxHipExtensionNonDominantPostHitch,8.988,11.676,2.688,,,,,,,,,,,,
Player 65,8622,Catch and Shoot,Right,0,ShoulderAlignmentRelease,-143.415,-141.788,1.627,maxElbowExtensionAvgPreHitch,104.498,101.812,-2.685,MaxStanceGapRelease,0.513,0.486,-0.027,maxKneeFlexionAvgPostHitch,-52.493,-48.877,3.616
Player 65,8623,Off the Dribble,Right,0,Max.Ball.Released..Away.from.body.,0.762,0.582,-0.179,,,,,,,,,,,,
Player 65,8624,Catch and Shoot,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.382,-0.018,,,,,,,,,,,,
Player 65,8646,Off the Dribble,Right,0,MaxStanceGapRelease,0.541,0.456,-0.085,ElbowFlexionAtT0Dominant,114.945,103.531,-11.414,maxShoulderExtensionDominantPreHitch,-7.696,1.464,9.16,,,,
Player 65,8663,Off the Dribble,Right,0,maxAnklePlantarflexionAvgPreHitch,23.599,15.166,-8.433,MaxStanceGapRelease,0.502,0.452,-0.05,timeToMaxAnkleDorsiflexionNonDominantPreHitch,0.15,0.094,-0.056,,,,
Player 65,8668,Off the Dribble,Right,0,maxElbowExtensionDominantHitch,96.923,108.2,11.278,maxAnkleDorsiflexionDominantPreHitch,28.38,25.067,-3.313,timeToMaxKneeFlexionDominantPreHitch,0.009,0.2,0.191,,,,
